line	ord	function	method	current_k	nodes_A_precedent	nodes_B_scalar	proposed_k_A	proposed_k_B	delta_A	delta_B	nested_calc_results	non_calc_calls_in_tree	structurally_zero_subtree	site_text
337	1	Work.copyCost	add	8	5	4	16	8	-8	0	0			this.calc(8).add(cost, 3 + key.length)
352	1	Work.token	add	16	10	10	32	32	-16	-16	1			this.calc(16).add(cost, typeof part === 'string' ? 2 + this.calc(8).times(7, part.length) : 25)
352	2	Work.token	times	8	3	2	8	8	0	0	0			this.calc(8).times(7, part.length)
376	1	sortBill	add	16	9	8	32	16	-16	0	0	call:Math.ceil		work.calc(16).add(runs, Math.ceil(n / (2 * width)))
379	1	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(n, levels)
380	1	sortBill	add	8	2	2	8	8	0	0	0			work.calc(8).add(13, comparator)
382	1	sortBill	plus	64	5	5	16	16	48	48	4			work.calc(64).plus(10, work.calc(8).times(3, n), work.calc(8).times(8, levels), work.calc(8).times(19, runs), work.calc(32).times(coefficient, merges))
382	2	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(3, n)
382	3	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(8, levels)
382	4	sortBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(19, runs)
383	1	sortBill	times	32	2	2	8	8	24	24	0			work.calc(32).times(coefficient, merges)
432	1	sortedOutput	add	16	2	2	8	8	8	8	1			work.calc(16).add(10, work.calc(8).times(2, count))
432	2	sortedOutput	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, count)
513	1	company	add	8	3	2	8	8	0	0	0			work.calc(8).add(chars, id.length)
514	1	company	add	8	3	2	8	8	0	0	0			work.calc(8).add(chars, id.length)
516	1	company	plus	64	5	5	16	16	48	48	3			work.calc(64).plus(5, work.calc(8).times(6, productions.length), work.calc(8).times(4, count), chars, work.calc(32).times(count, count + work.calc(8).times(2, chars)))
516	2	company	times	8	3	2	8	8	0	0	0			work.calc(8).times(6, productions.length)
516	3	company	times	8	2	2	8	8	0	0	0			work.calc(8).times(4, count)
517	1	company	times	32	4	4	8	8	24	24	1			work.calc(32).times(count, count + work.calc(8).times(2, chars))
517	2	company	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, chars)
526	1	writers	add	8	3	2	8	8	0	0	0			work.calc(8).add(chars, id.length)
527	1	writers	plus	64	6	4	16	8	48	56	1			work.calc(64).plus(10, project.writerIds.length, work.calc(32).times(project.writerIds.length, 2 + project.writerId.length), chars)
527	2	writers	times	32	8	4	16	8	16	24	0			work.calc(32).times(project.writerIds.length, 2 + project.writerId.length)
783	1	prepare	times	32	5	2	16	8	16	24	0			work.calc(32).times(picture.workflow.reservations.length, 42)
901	1	dimensionRecordFacts	add	8	5	4	16	8	-8	0	0			work.calc(8).add(copy!, 3 + key.length)
958	1	staticDimensionFacts	add	8	3	2	8	8	0	0	0			work.calc(8).add(capacity, row.capacity)
967	1	staticDimensionFacts	add	8	4	2	8	8	0	0	0			work.calc(8).add(provides, row.providesFacilityIds.length)
973	1	staticDimensionFacts	add	8	4	2	8	8	0	0	0			work.calc(8).add(cells, row.cells.length)
1107	1	workflowUpdate	plus	64	7	5	16	16	48	48	1			work.calc(64).plus(d.operationsCopy, 11, 2, d.n, work.calc(32).times(d.n, 2 + work.calc(8).equality(d.dp)))
1107	2	workflowUpdate	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.n, 2 + work.calc(8).equality(d.dp))
1107	3	workflowUpdate	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.dp)
1113	1	geometryBill	plus	64	9	7	32	16	32	48	4			work.calc(64).plus(50, work.calc(8).times(d.structures, 8), work.calc(32).times(d.provides, 2 + work.calc(8).equality(d.d)), work.calc(32).times(d.placements, 3 + work.calc(8).equality(d.d)), work.calc(8).times(d.cells, 10), d.structures, d.placements)
1113	2	geometryBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(d.structures, 8)
1113	3	geometryBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.provides, 2 + work.calc(8).equality(d.d))
1113	4	geometryBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1114	1	geometryBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.placements, 3 + work.calc(8).equality(d.d))
1114	2	geometryBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1114	3	geometryBill	times	8	3	2	8	8	0	0	0			work.calc(8).times(d.cells, 10)
1115	1	geometryBill	plus	64	3	3	8	8	56	56	2			work.calc(64).plus(130, work.calc(32).times(2, work.calc(8).equality(d.d)), work.calc(8).times(2, body))
1115	2	geometryBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(2, work.calc(8).equality(d.d))
1115	3	geometryBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1115	4	geometryBill	times	8	2	2	8	8	0	0	0			work.calc(8).times(2, body)
1133	1	arrivalBill	add	32	2	2	8	8	24	24	1			work.calc(32).add(18, work.calc(32).times(d.n, 14 + work.calc(32).times(4, work.calc(8).equality(d.d))))
1133	2	arrivalBill	times	32	5	4	16	8	16	24	1			work.calc(32).times(d.n, 14 + work.calc(32).times(4, work.calc(8).equality(d.d)))
1133	3	arrivalBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(4, work.calc(8).equality(d.d))
1133	4	arrivalBill	equality	8	2	1	8	8	0	0	0			work.calc(8).equality(d.d)
1138	1	arrivalBill	add	32	2	2	8	8	24	24	1			work.calc(32).add(common, work.calc(32).times(possible, work.calc(64).plus(geometryBill(d, work), 70, d.workflowCopy, d.taskCopy, workflowUpdate(d, work))))
1139	1	arrivalBill	times	32	2	2	8	8	24	24	1			work.calc(32).times(possible, work.calc(64).plus(geometryBill(d, work), 70, d.workflowCopy, d.taskCopy, workflowUpdate(d, work)))
1139	2	arrivalBill	plus	64	13	11	32	32	32	32	0	helper:geometryBill;helper:workflowUpdate		work.calc(64).plus(geometryBill(d, work), 70, d.workflowCopy, d.taskCopy, workflowUpdate(d, work))
